id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
366670083365670,Ray Coyote,,3890,Musician/Band,RayCoyoteBand,yes,https://www.facebook.com/RayCoyoteBand/,0.06,87
398251993580436,La Perla Records & Books,,7933,Local Business,laperlarecordsgdl,yes,https://www.facebook.com/laperlarecordsgdl/,0.03,16
141561475927484,CALEIDOSCOPIO LEATHER,,7438,Local Business,CaleidoscopioLeather,yes,https://www.facebook.com/CaleidoscopioLeather/,0.04,83
75416058600,Indie Rocks! (Magazine),,313246,Magazine,indierocksmag,yes,https://www.facebook.com/indierocksmag/,0.47,13011
496200990404348,Ixcall,,1168,Wine/Spirits,Ixcall,yes,https://www.facebook.com/Ixcall/,0.01,7
303930092978789,Bananas del Caloncho,,1570,Musician/Band,frutitascaloncheras,yes,https://www.facebook.com/frutitascaloncheras/,0.01,2
167541170020326,On A Rocket,,2015,Entertainment Website,onarocket,yes,https://www.facebook.com/onarocket/,0.03,1
123216351049810,Warp,,153280,Magazine,WARPmagazine,yes,https://www.facebook.com/WARPmagazine/,0.8,13546
236074676483593,Tragos De Rock,,4654,Radio Station,TragosDeRock,yes,https://www.facebook.com/TragosDeRock/,0.21,101
146283095564709,Caloncho Fans Official,,12852,Musician/Band,FansCalonchoDF,yes,https://www.facebook.com/FansCalonchoDF/,0.04,1558
632704306795226,Pause Magazine,,7530,Magazine,pausemagazine,yes,https://www.facebook.com/pausemagazine/,0.0,2
119685104266,Remezcla,,275610,News/Media Website,Remezcla,yes,https://www.facebook.com/Remezcla/,1.03,251460
172381532781660,Cuatro Oros,,9155,Bar,CuatroOros,yes,https://www.facebook.com/CuatroOros/,0.0,6
464421223639063,GUEYK Up,,4483,Community,gueykup,yes,https://www.facebook.com/gueykup/,0.0,4
88893308920,MIXLEFUN,,8009,Public Figure,MIXLEFUN,yes,https://www.facebook.com/MIXLEFUN/,0.01,8
136448033067117,The Oaths,,10055,Musician/Band,theoaths,yes,https://www.facebook.com/theoaths/,0.01,16
287768071602,San Juan Project,,18518,Musician/Band,sanjuanproject,yes,https://www.facebook.com/sanjuanproject/,0.02,207
235024306625323,Porter,,109325,Musician/Band,oficialporter,yes,https://www.facebook.com/oficialporter/,0.09,5279
196777620342613,Dan Solo,,10087,Musician/Band,unfamousdansolo,yes,https://www.facebook.com/unfamousdansolo/,0.01,92
106445139376240,GiG MX,,1836,Company,gigmx,yes,https://www.facebook.com/gigmx/,0.0,2
129102463838394,VANESSA ZAMORA,,57608,Musician/Band,vanessazamoraoficial,yes,https://www.facebook.com/vanessazamoraoficial/,0.1,2246
9620065201,Ibero 90.9,,172457,Radio Station,ibero909,no,https://www.facebook.com/ibero909/,0.64,2213
143652302399755,GALGO,,8353,Artist,galgomusic,yes,https://www.facebook.com/galgomusic/,0.01,469
378188158897947,Ready Set Sessions,,5831,Music Video,ReadySetSessions,yes,https://www.facebook.com/ReadySetSessions/,0.01,38
122122014548324,YOGUI,,8589,Musician/Band,yoguimusica,yes,https://www.facebook.com/yoguimusica/,0.02,320
107473789279196,RVCA Mexico,,13262,Clothing,,yes,https://www.facebook.com/RVCA-Mexico-107473789279196/,0.01,153
347168985366359,Paraiso Costalegre,,1184,Hotel,ParaisoCostalegre,yes,https://www.facebook.com/ParaisoCostalegre/,0.01,4
288544631218466,Platano Radio,,421,Radio Station,Platano.Radio,yes,https://www.facebook.com/Platano.Radio/,0.0,0
366847370080776,Wixabikla,,999,Non-Governmental Organization (NGO),Wixabikla,yes,https://www.facebook.com/Wixabikla/,0.0,1
235710979860927,La Sociedad Secreta,,2535,Artist,LaSociedadSecreta,yes,https://www.facebook.com/LaSociedadSecreta/,0.0,5
472199809459271,Salsa Huichol,,80446,Company,SalsaHuicholOficial,yes,https://www.facebook.com/SalsaHuicholOficial/,0.07,1604
108941139184676,Espumas y Terciopelo,,20926,Musician/Band,espumasyterciopelo,yes,https://www.facebook.com/espumasyterciopelo/,0.06,1229
88122449790,VANSEN TIGER,,5068,Musician/Band,vansentiger,yes,https://www.facebook.com/vansentiger/,0.0,8
230442577012779,Dorotheo,,1965,Musician/Band,dorotheoband,yes,https://www.facebook.com/dorotheoband/,0.01,2
